name,constituency,so_do_wo,age,party,assets,liabilities
MADHAGONY VENKATESHWARLU GOUD,MUNUGODE  (NALGONDA),Madhagony Laxmaiah,40,IND,"Rs 64,400",Nil
MAHESWARAM CHIRANJEEVI,MIRYALAGUDA  (NALGONDA),Sh. Venkata Chary,32,IND,"Rs 6,11,000","Rs 2,25,000"
MALLIDI VENKATA RAMA REDDY,MIRYALAGUDA  (NALGONDA),Sh. Narayana Reddy,62,IND,Telangana 2018,"Rs17,73,130"
MAMIDI SAIDAIAH,NAGARJUNA SAGAR  (NALGONDA),Dasharatha,33,Dharma Samaj Party,"Rs 2,70,000","Rs 3,20,000"
MARAM VENKAT REDDY,NALGONDA  (NALGONDA),Sh. Ram Reddy,52,IND,Telangana 2023,"Rs11,30,500"
MATTAPALLY ANKULAMMA,MIRYALAGUDA  (NALGONDA),Late Sh. Yellaiah,65,IND,"Rs 22,67,000","Rs 3,80,952"
MEDI NARESH,NAKREKAL (SC)  (NALGONDA),Medi Yadaiah,31,Social Justice Party of India,Telangana 2018,"Rs25,035"
MEDI PRIYADARSHINI,NAKREKAL (SC)  (NALGONDA),Ramesh Medi,38,BSP,"Rs 3,95,30,418","Rs 60,87,751"
MEDI SHANTOSH KUMAR,NAKREKAL (SC)  (NALGONDA),Yadaiah,33,Telangana Republican Party,"Rs 7,13,000","Rs 1,50,000"
MEGAVATH CHANDU,MUNUGODE  (NALGONDA),Megavath Harya,26,IND,"Rs 2,90,000","Rs 75,000"
MERUGU VENKATESHWARLU,NALGONDA  (NALGONDA),Sh. Merugu Maraiah,38,Yuga Thulasi Party,"Rs 11,30,625","Rs 6,99,000"
MOHAMMED MAJEED,NALGONDA  (NALGONDA),Mohammed Shaik Latheef,39,IND,"Rs 1,02,000",Nil
MOHAMMED NASEER,NALGONDA  (NALGONDA),Mohammed Rafeq,28,IND,"Rs 1,09,000",Nil
MUDAVATH SEETHRAM,DEVARAKONDA (ST)  (NALGONDA),Mudavath Sevya,30,IND,"Rs 9,10,100","Rs 2,58,767"
MUDIREDDY SUDHAKAR REDDY,NALGONDA  (NALGONDA),Sh. Linga Reddy,62,CPI(M),"Rs 34,75,000",Nil
NAKIREKANTI MOGULAIAH,NAKREKAL (SC)  (NALGONDA),Mallesham,49,BJP,"Rs 27,04,884","Rs 3,20,000"
NALLAMOTHU BHASKAR RAO,MIRYALAGUDA  (NALGONDA),N Venkataramaiah,70,BRS,Telangana 2018,"Rs5,32,02,321"
NARASIMHA GIRI,MUNUGODE  (NALGONDA),Ramaswamy Giri,36,Bahujan Republican Socialist Party,"Rs 60,20,096",Nil
NARENDRA VEMULA,MUNUGODE  (NALGONDA),Narsimhma Vemula,39,IND,"Rs 89,16,000","Rs 8,00,000"
NARRI SWAMY,MUNUGODE  (NALGONDA),Narri Bhagavanthaiah,35,IND,"Rs 24,97,500","Rs 8,50,000"
NOMULA BHAGATH KUMAR,NAGARJUNA SAGAR  (NALGONDA),Narshimhaiah,39,BRS,Telangana 2018,"Rs2,26,35,369"
NOONE SURESH,MUNUGODE  (NALGONDA),Noone Eddaiah,29,Vidhyarthula Rajakiya Party,"Rs 35,000",Nil
NOONE VENKAT SWAMY,NAKREKAL (SC)  (NALGONDA),Ramaswamy,54,Bahujana Left Party,Telangana 2018,"Rs15,80,000"
P SHANKARAIAH,NALGONDA  (NALGONDA),Sh. Pullemla Sarvaiah,35,Dharma Samaj Party,"Rs 50,000",Nil
P. YALLAIAH,MIRYALAGUDA  (NALGONDA),Sh. Pagadala EEdaiah,56,IND,"Rs 4,71,000",Nil
PAGADALA BIXAPATHI,NALGONDA  (NALGONDA),Sh. P. Venkatesh,29,Bharatha Chaitanya Yuvajana Party,"Rs 2,52,000",Nil
PALLETI VINOD KUMAR,MUNUGODE  (NALGONDA),Muthyalu,29,IND,"Rs 1,88,000","Rs 38,000"
PANIKERA LOKESH,NAKREKAL (SC)  (NALGONDA),Panikera Laxmaiah,27,IND,"Rs 11,000","Rs 80,000"
PANUGOTU LALSINGH,NAGARJUNA SAGAR  (NALGONDA),Vasya,33,IND,"Rs 10,000",Nil
PEDAMAYA MADHU,NAKREKAL (SC)  (NALGONDA),Venkatramulu,36,IND,"Rs 3,75,000",Nil
PEDDA ANJAIAH VAJJAGIRI,MIRYALAGUDA  (NALGONDA),Sh. Pedda Veeraiah Vajjagiri,62,Bahujan Mukti Party,"Rs 5,20,000",Nil
PILLI RAMA RAJU YADAV,NALGONDA  (NALGONDA),Pilli Saidulu,40,All India Forward Bloc,"Rs 4,13,93,181","Rs 21,96,466"
POLISHETTY VENKATESHWARLU,NALGONDA  (NALGONDA),Sh. Polishetty Peddi Ramulu,58,IND,Telangana 2018,"Rs22,500"
POTTABATHULA SAIDULU,NALGONDA  (NALGONDA),Sh. Laxmi Narayana,33,IND,"Rs 20,000",Nil
PURAM SANTHOSH KUMAR,NAKREKAL (SC)  (NALGONDA),Lt. Puram Venkatramulu,41,Mana Telangana Rashtra Samaikya Party,"Rs 11,000",Nil
RAMAVATH GOPAL KRISHNA,DEVARAKONDA (ST)  (NALGONDA),Ramavath Panthu,36,IND,"Rs 62,19,500","Rs 3,10,000"
RAMESH BABU KETHAVATH,DEVARAKONDA (ST)  (NALGONDA),Makat Lal,27,Telangana Republican Party,"Rs 2,50,000","Rs 1,00,000"
RAVI NAIK GUGULOTHU,DEVARAKONDA (ST)  (NALGONDA),Peelu Gugulothu,40,Dharma Samaj Party,"Rs 1,09,72,100","Rs 7,20,000"
RAVINDRA KUMAR RAMAVATH,DEVARAKONDA (ST)  (NALGONDA),Kanilal,50,BRS,Telangana 2018,"Rs1,39,25,654"
SADINENI SRINIVASA RAO,MIRYALAGUDA  (NALGONDA),Sathayanarayana,52,BJP,"Rs 9,16,41,800",Nil
SAIDA LAVURI,MIRYALAGUDA  (NALGONDA),Sh. Naryana Lavuri,28,IND,"Rs 1,06,200",Nil
SATYANARAYANA RAPOLU,MUNUGODE  (NALGONDA),Lt. Shambaiah,41,IND,"Rs 54,23,358","Rs 20,70,330"
SEENAIAH ANTHATI,MUNUGODE  (NALGONDA),Chandraiah,51,IND,"Rs 12,50,369",Nil
SINGAPAKA SURESH,NAKREKAL (SC)  (NALGONDA),RAMANUJAM,27,IND,"Rs 95,000",Nil
SOMAVARAPU SATYANARAYANA,NALGONDA  (NALGONDA),Sh. Bhadraiah,59,IND,Telangana 2014,"Rs66,50,000"
SREENU VADTHYA,DEVARAKONDA (ST)  (NALGONDA),Vadthya Raju,39,IND,Lok Sabha 2019,"Rs19,23,826"
SURARAPU PARAMESHA,NALGONDA  (NALGONDA),Sh. Veeraiah,41,IND,"Rs 2,13,30,000","Rs 30,00,000"
SYED AFROZ,NALGONDA  (NALGONDA),Syed Sharif,34,IND,"Rs 11,70,000",Nil
SYED FAROOQ,MIRYALAGUDA  (NALGONDA),Syed Khaja,42,IND,Telangana 2018,"Rs16,66,600"
T. SANTOSHA,NALGONDA  (NALGONDA),Sh. Thaviti Narsimha,35,Navarang Congress Party,"Rs 37,000",Nil
THANNIRU YADAIAH,NALGONDA  (NALGONDA),Sh. Ayodya,67,IND,"Rs 46,32,000","Rs 4,80,000"
THARI YALLAIAH,MIRYALAGUDA  (NALGONDA),Sh. Somiah,37,Dharma Samaj Party,"Rs 3,71,000",Nil
UDHARI MALLESH,MUNUGODE  (NALGONDA),Bazaru,37,IND,Telangana 2018,"Rs35,000"
VANAM VIJAY KUMAR,NAGARJUNA SAGAR  (NALGONDA),Krishnaiah V,41,IND,"Rs 61,16,390",Nil
VANGALA VENKAT REDDY,MUNUGODE  (NALGONDA),Achi Reddy,44,IND,"Rs 1,65,000",Nil
VEMULA VEERESHAM(Winner),NAKREKAL (SC)  (NALGONDA),KONDAIAH (LATE),46,INC,Telangana 2018,"Rs1,99,78,019"
VENKANNA YATHAKULA,NAKREKAL (SC)  (NALGONDA),Somaiah,37,Dharma Samaj Party,"Rs 2,50,625",Nil
VENU VURA,NAKREKAL (SC)  (NALGONDA),Gurvaiah,26,Jana Shankhaaraavam Party,"Rs 16,41,800","Rs 9,82,823"
VIJAY KUMAR PANDIRI,NAKREKAL (SC)  (NALGONDA),Venkataiah,27,Yuga Thulasi Party,"Rs 2,92,328",Nil
WALKEE KRANTHI KUMAR,NALGONDA  (NALGONDA),Sh. Yallaiah,34,IND,"Rs 21,500",Nil
YERRA PARAMESH,MUNUGODE  (NALGONDA),Yerra Chandraiah,46,IND,"Rs 38,10,315","Rs 5,57,879"
ANIL,MAKTHAL  (NARAYANPET),Samba Shivudu,35,IND,"Rs 3,50,000","Rs 1,00,000"
BHARATH KUMAR BUSHANOLLA,MAKTHAL  (NARAYANPET),Kista Reddy,29,IND,"Rs 2,00,000",Nil
BODHIGELI SRINIVASULU,NARAYANPET  (NARAYANPET),B Chinna Venkataiah,32,BSP,Telangana 2018,"Rs1,57,500"
CHITTEM PARNIKA REDDY(Winner),NARAYANPET  (NARAYANPET),Venkateshwar Reddy Chittem,30,INC,"Rs 3,34,20,393","Rs 27,63,636"
CHITTEM RAM MOHAN REDDY,MAKTHAL  (NARAYANPET),Late Chittem Narsi Reddy,60,BRS,"Rs 11,26,30,000","Rs 15,00,000"
EASHWAR,NARAYANPET  (NARAYANPET),Balaih,26,Dharma Samaj Party,"Rs 3,25,000","Rs 1,30,000"
GAVINOLLA VENKATRAMA REDDY,MAKTHAL  (NARAYANPET),G.Krishna Reddy,50,All India Forward Bloc,"Rs 1,13,30,620","Rs 98,00,000"
JAGANNATH REDDY VARKATAM,MAKTHAL  (NARAYANPET),Varkatam Jagpal Reddy,51,BSP,Telangana 2014,"Rs2,16,44,000"
JALANDER REDDY MADI REDDY,MAKTHAL  (NARAYANPET),Siva Reddy,59,BJP,Telangana 2018,"Rs35,67,10,000"
K LAXMANNA,MAKTHAL  (NARAYANPET),Pedda Suvanna,29,IND,"Rs 3,78,000",Nil
K.RAJENDER REDDY,NARAYANPET  (NARAYANPET),K Navad Reddy,45,IND,"Rs 64,84,371","Rs 2,98,000"
K.RATANGA PANDU REDDY,NARAYANPET  (NARAYANPET),Thimma Reddy,58,BJP,Telangana 2018,"Rs40,00,000"
M BALAKRISHNA NIRUDYOGI,MAKTHAL  (NARAYANPET),M.Balaram,31,IND,"Rs 5,40,000","Rs 3,00,000"
MYATHARI DASHARATH KUMAR,MAKTHAL  (NARAYANPET),Peddasuvanna,29,Dharma Samaj Party,"Rs 71,000",Nil
PAATHINTI VISHNUVARDHAN REDDY,MAKTHAL  (NARAYANPET),Paathinti Govind Reddy,45,IND,"Rs 11,38,494",Nil
S.RAJENDER REDDY,NARAYANPET  (NARAYANPET),Late Sri Rajeshwar Reddy,58,BRS,Telangana 2018,"Rs66,21,63,830"
SATHYANARAYANA BANDA,NARAYANPET  (NARAYANPET),Banda Shankaraiah,35,IND,"Rs 24,30,000","Rs 18,50,000"
VAKITI SRIHARI(Winner),MAKTHAL  (NARAYANPET),Vakiti Narsimulu,51,INC,"Rs 1,32,40,543","Rs 41,80,000"
ALLETI MAHESHWAR REDDY(Winner),NIRMAL  (NIRMAL),Padmanabha Peddy,54,BJP,Telangana 2018,"Rs21,49,35,199"
ALLOLA INDRAKARAN REDDY,NIRMAL  (NIRMAL),NARAYAN REDDY,74,BRS,Telangana 2018,"Rs1,18,60,501"
ASHA REDDY BONTHA,KHANAPUR (ST)  (NIRMAL),Sh. Potha Lingu,55,Gondvana Gantantra Party,"Rs 22,66,114",Nil
ATHRAM RAVINDAR,KHANAPUR (ST)  (NIRMAL),Sh. Athram Malku,41,IND,"Rs 10,000",Nil
BADDAM BHOJA REDDY,MUDHOLE  (NIRMAL),Baddam Bhuma Reddy,52,All India Forward Bloc,"Rs 1,65,000",Rs 0
BANSILAL RATHOD,KHANAPUR (ST)  (NIRMAL),Sh. Venkataram Rathod,38,BSP,"Rs 38,66,312","Rs 2,86,228"
BHOSLE NARAYAN RAO PATIL,MUDHOLE  (NIRMAL),Bhosle Gopal Rao Patil,64,INC,Telangana 2018,"Rs35,15,77,490"
BURKA RAJENDER,NIRMAL  (NIRMAL),Chinnaiah,34,IND,"Rs 10,76,500",Nil
DEVATHA JAGAN MOHAN,NIRMAL  (NIRMAL),D Ganganna,48,BSP,"Rs 13,92,000",Nil
DEVIDAS HASDE,MUDHOLE  (NIRMAL),Sambaji Hasde,46,Republican Party of India,"Rs 10,19,440",Nil
DEVOLLA RAJU,NIRMAL  (NIRMAL),Lingana,30,IND,"Rs 1,03,000",Nil
ELUGUDAR PRAVEEN,MUDHOLE  (NIRMAL),Gourappa,30,IND,"Rs 24,09,290",Nil
GADDIGARI VITTAL REDDY,MUDHOLE  (NIRMAL),Gaddigari Gaddenna,69,BRS,Telangana 2018,"Rs1,24,70,613"
GOREKAR VIJAY,MUDHOLE  (NIRMAL),Gorekar Chandu,34,India Praja Bandhu Party,"Rs 1,26,000","Rs 1,00,000"
GORRE LINGANNA,NIRMAL  (NIRMAL),Gorre Linganna,61,Bahujan Mukti Party,"Rs 11,72,250","Rs 2,18,790"
JADHAV DATTURAM,MUDHOLE  (NIRMAL),Govendrao,33,IND,"Rs 3,98,972",Nil
JADHAV DEVIDAS,MUDHOLE  (NIRMAL),Jadhav Subjash,41,IND,"Rs 50,000",Nil
JADHAV PRABHAS,KHANAPUR (ST)  (NIRMAL),Sh. Ramarao,33,Dharma Samaj Party,"Rs 26,000",Nil
JOHNSON NAIK BHUKYA,KHANAPUR (ST)  (NIRMAL),SAMUEL NAIK BHUKYA,47,BRS,"Rs 9,23,04,680","Rs 1,14,59,436"
K. SRIHARI RAO,NIRMAL  (NIRMAL),PRAKASH RAO,62,INC,Telangana 2014,"Rs83,50,000"
KASARAM RAJU,MUDHOLE  (NIRMAL),Dinesh,30,Dharma Samaj Party,"Rs 20,000",Nil
KHAJA NAYEEM UDDIN MOHAMMAD,NIRMAL  (NIRMAL),Khaja Mohammad,57,IND,"Rs 21,80,000",Nil
KUTHATI VIJAYA,KHANAPUR (ST)  (NIRMAL),Sh. Sigasarapu Yadaiah,44,Pyramid Party of India,Telangana 2018,"Rs42,41,883"
MALLESH MADDIKUNTA,NIRMAL  (NIRMAL),Ashanna Maddikunta,39,IND,"Rs 20,81,000","Rs 3,07,000"
MANMOHAN JADHAV,MUDHOLE  (NIRMAL),Raghunath Jadhav,31,IND,"Rs 43,98,811",Nil
MANTHENA INDRAKARAN REDDY,NIRMAL  (NIRMAL),Muralidhar Reddy,46,Alliance of Democratic Reforms Party,"Rs 23,30,000","Rs 2,50,000"
MOHAN,KHANAPUR (ST)  (NIRMAL),Sh. Jemla Rathod,63,IND,"Rs 2,25,40,000",Nil
NETHAVATH RAJENDER,KHANAPUR (ST)  (NIRMAL),NETHAVATH RAMDAS,32,IND,"Rs 85,000",Nil
PARIKIPANDLA SWADESH,NIRMAL  (NIRMAL),Parakipandla Shantharam,40,All India Forward Bloc,"Rs 14,63,714","Rs 40,431"
PENDOOR PRIYANKA,KHANAPUR (ST)  (NIRMAL),Sh. Pendor Jangu,33,CPI(ML) Red Star,"Rs 2,42,500",Nil
POTHARAJU SUDHAKAR,MUDHOLE  (NIRMAL),Potharaju,37,IND,"Rs 5,15,971",Nil
RAM RAO PAWAR(Winner),MUDHOLE  (NIRMAL),Shyam Rav Patel Pawar,69,BJP,Telangana 2018,"Rs14,56,46,809"
RAMESH RATHOD,KHANAPUR (ST)  (NIRMAL),Rathod Mohan,57,BJP,Lok Sabha 2019,"Rs3,64,91,000"
RAVINDHAR RAMAGIRI,NIRMAL  (NIRMAL),Bhuchanna,37,Dharma Samaj Party,"Rs 2,87,000","Rs 50,000"
SANJU HEMLE,MUDHOLE  (NIRMAL),Gajjaram Hemle,47,IND,"Rs 20,000",Nil
SUDHARSHAN,NIRMAL  (NIRMAL),Bansiram,47,IND,"Rs 35,11,000",Nil
VEDMA BHOJJU(Winner),KHANAPUR (ST)  (NIRMAL),Vedma Bheemrao,37,INC,"Rs 24,30,000","Rs 21,90,386"
VINOD KUMAR SHARADARAO,MUDHOLE  (NIRMAL),Gangadhar Sharadarao,30,BSP,"Rs 21,46,000","Rs 8,00,000"
A. SUDARSHAN RAJ,BODHAN  (NIZAMABAD),Yesu Ratnam,61,IND,"Rs 17,12,000","Rs 14,15,990"
ABBAGONI ASHOK GOUD,BALKONDA  (NIZAMABAD),Abbagoni Lakshmagouda,41,Bahujana Left Party,"Rs 1,50,000",Nil
ALI MANSOOR,NIZAMABAD (URBAN)  (NIZAMABAD),Mohammed Mahmood Ali,35,Anna YSR Congress Party,Telangana 2018,"Rs44,00,000"
AMARNATH BABU. M,BODHAN  (NIZAMABAD),M.Kutumba Rao,65,BSP,"Rs 93,72,062","Rs 20,79,000"
ANNAPURNA DEVI ALETI,BALKONDA  (NIZAMABAD),Aleti Mahipal Reddy,68,BJP,Himachal Pradesh 2022,"Rs1,01,39,61,033"
ARA SUKESH KUMAR,NIZAMABAD (RURAL)  (NIZAMABAD),Ara Bojanna,28,IND,"Rs 24,008",Nil
ASHANNAGARI JEEVAN REDDY,ARMUR  (NIZAMABAD),Ashannagari Venkat Rajanna,47,BRS,Telangana 2018,"Rs6,46,42,504"
B.B.NAIK,NIZAMABAD (RURAL)  (NIZAMABAD),CHATRU NAIK,48,IND,"Rs 32,65,000",Nil
BADAVATH LALITHA,NIZAMABAD (URBAN)  (NIZAMABAD),Badavath Bhagavan Naik,36,IND,"Rs 15,000",Nil
BALARAJU GUGULOTH,NIZAMABAD (RURAL)  (NIZAMABAD),DAVOJI GUGULOTH,39,IND,Telangana 2018,"Rs4,89,125"
BHOJANNA MANGLARAM,BALKONDA  (NIZAMABAD),Gangaram Bhojanna,35,Dharma Samaj Party,"Rs 8,15,000","Rs 3,00,000"
BHOOPATHI REDDY REKULAPALLY(Winner),NIZAMABAD (RURAL)  (NIZAMABAD),Rekupally Raja Reddy,59,INC,Telangana 2018,"Rs20,22,22,730"
BODDU GANGA REDDY,NIZAMABAD (RURAL)  (NIZAMABAD),BODDU SAYANNA,71,IND,"Rs 68,40,500",Nil
CHERUKU PREM KUMAR,ARMUR  (NIZAMABAD),Cheruku Nallanna,43,Dharma Samaj Party,"Rs 46,95,000","Rs 21,60,000"
CHETPALLY SHEKAR,BALKONDA  (NIZAMABAD),Chetpally Rajeshwar,31,Bharatha Chaitanya Yuvajana Party,"Rs 24,92,000","Rs 6,60,000"
CHIMARLA RAJESHWAR,NIZAMABAD (RURAL)  (NIZAMABAD),CHIMARLA SHANKAR,41,IND,"Rs 3,20,000","Rs 65,000"
D. NAGARAJ,BODHAN  (NIZAMABAD),Govind,40,All India Forward Bloc,"Rs 4,80,000",Nil
DANDI LATHA,NIZAMABAD (URBAN)  (NIZAMABAD),Danda Venkat,48,Bahujana Left Party,"Rs 39,60,000","Rs 12,00,000"
DATTURAM KHATAL,NIZAMABAD (URBAN)  (NIZAMABAD),Gangaram Khatal,45,Rashtriya Samaj Paksha,"Rs 8,38,264",Nil
DEGAVATH SHIVARAM,NIZAMABAD (RURAL)  (NIZAMABAD),DEGAVATH JAYARAM,45,IND,"Rs 2,60,000",Nil
DEME SUBASH,BANSWADA  (NIZAMABAD),Late Deme Jaloji,59,IND,"Rs 2,12,46,306",Nil
DHANPAL SURYANARAYANA(Winner),NIZAMABAD (URBAN)  (NIZAMABAD),Dhanpal Vittal,65,BJP,"Rs 27,25,73,559","Rs 10,20,92,028"
DINESH KUMAR KULACHARI,NIZAMABAD (RURAL)  (NIZAMABAD),Sh. Madhusudan Rao,51,BJP,"Rs 90,06,875","Rs 18,52,623"
EANUGU RAVINDER REDDY,BANSWADA  (NIZAMABAD),Late E. Raji Reddy,58,INC,Telangana 2018,"Rs15,46,06,158"
FAZAL KAREEM,NIZAMABAD (URBAN)  (NIZAMABAD),Shaik Habeeb,33,IND,"Rs 3,90,000",Nil
GADDE SRINIVAS,BALKONDA  (NIZAMABAD),Gadde Ramulu,55,Alliance of Democratic Reforms Party,"Rs 2,20,000",Nil
GANDIKOTA RAJANNA,ARMUR  (NIZAMABAD),Gandikota Mallaiah,49,BSP,"Rs 20,47,600","Rs 1,65,000"
GANESH BIGALA,NIZAMABAD (URBAN)  (NIZAMABAD),KRISHNA MURTHY BIGALA,54,BRS,Telangana 2018,"Rs29,69,85,797"
GANGADHAR MYAKA,ARMUR  (NIZAMABAD),RAJAIAH MYAKA,65,IND,"Rs 12,06,16,672","Rs 37,83,205"
GANGALE SANJEEV,NIZAMABAD (URBAN)  (NIZAMABAD),Gangale Namadev,55,Republican Party of India,"Rs 2,34,000","Rs 2,00,000"
GOVERDHAN BAJIREDDY,NIZAMABAD (RURAL)  (NIZAMABAD),Late Digamber Bajireddy,69,BRS,Telangana 2018,"Rs5,38,08,877"
HANMAJI BHOOPAL REDDY,BODHAN  (NIZAMABAD),Venkat Reddy Hanmaji,34,Alliance of Democratic Reforms Party,"Rs 18,91,480","Rs 30,000"
JUNAID AHMED KHALEEL,BODHAN  (NIZAMABAD),Late Khaleel Ur Rahman,41,IND,"Rs 7,30,445","Rs 1,26,037"
KALA SRINIVAS,NIZAMABAD (RURAL)  (NIZAMABAD),THOTA CHINNA BALRAJ,42,Republican Party of India,"Rs 53,50,000","Rs 22,00,000"
KOTAGIRI SRINIVAS,ARMUR  (NIZAMABAD),Kotagiri Sayanna,56,IND,Telangana 2023,"Rs42,67,100"
LAKKA ASHOK,NIZAMABAD (URBAN)  (NIZAMABAD),Lakka Kistaiah,60,Uttara Raashtra Telangana Party,"Rs 18,51,792",Nil
LAXMI NARAYANA YENDALA,BANSWADA  (NIZAMABAD),CHINNIAH YENDALA,60,BJP,Telangana 2018,"Rs3,38,52,999"
MATTAMLA SHEKHAR,NIZAMABAD (RURAL)  (NIZAMABAD),GANGARAM MATAMULA,42,BSP,"Rs 10,71,700","Rs 3,00,000"
MD AZEEM QURESHI,NIZAMABAD (URBAN)  (NIZAMABAD),MD Gouse Quraid,37,IND,"Rs 4,30,000",Nil
METHRI RAJASHEKAR,NIZAMABAD (RURAL)  (NIZAMABAD),NAGARAJU,31,Marxist Communist Party of India (United),"Rs 1,07,000",Nil
MOGILI RAJKUMAR,NIZAMABAD (URBAN)  (NIZAMABAD),M. Jayaker,45,India Praja Bandhu Party,"Rs 1,36,000",Nil
MOHAMMED ALI SHABBIR,NIZAMABAD (URBAN)  (NIZAMABAD),Mohd. Masoom,65,INC,Telangana Legislative Council (Updated),"Rs9,65,32,637"
MOHAMMED SHAKIL AAMIR,BODHAN  (NIZAMABAD),MOHAMMED AZAM,47,BRS,Telangana 2018,"Rs18,91,55,539"
MOHAMMED ZAHEER UDDIN,NIZAMABAD (URBAN)  (NIZAMABAD),Mohammed Aleemuddin,55,Majlis Bachao Tahreek,"Rs 15,49,000",Nil
MOHAN REDDY VADDI,BODHAN  (NIZAMABAD),VADDI VEERA REDDY,56,BJP,"Rs 38,68,79,466","Rs 4,64,98,910"
MOSIN,BODHAN  (NIZAMABAD),Gouseuddin,35,Marxist Communist Party of India (United),"Rs 11,000",Nil
MURALI SAYAM,BODHAN  (NIZAMABAD),Narsaiah Sayam,31,Dharma Samaj Party,"Rs 1,15,000",Nil
NALLURI RAJESH,NIZAMABAD (URBAN)  (NIZAMABAD),Nalluri Jagan,38,IND,"Rs 9,65,000","Rs 2,05,668"
NEERADI ESHWAR,BANSWADA  (NIZAMABAD),Neeradi Peeraiah,43,BSP,"Rs 9,45,000","Rs 3,50,000"
NYALAPATLA PRANAY GOUD,ARMUR  (NIZAMABAD),Ganesh Goud,25,IND,"Rs 1,00,000",Nil
OM SHANKAR GANDLA,NIZAMABAD (URBAN)  (NIZAMABAD),Narayana,42,Dharma Samaj Party,"Rs 44,15,000","Rs 30,00,000"
P. SUDARSHAN REDDY(Winner),BODHAN  (NIZAMABAD),GANGA REDDY,73,INC,Telangana 2018,"Rs44,69,73,863"
PADAKANTI RAMU,NIZAMABAD (URBAN)  (NIZAMABAD),Rajaiah,38,IND,Telangana 2018,"Rs44,97,210"
PAIDI RAKESH REDDY(Winner),ARMUR  (NIZAMABAD),Ganga Reddy Paidi,56,BJP,"Rs 21,28,97,377","Rs 8,24,42,418"
PALLAVULA RAMA KRISHNA REDDY,ARMUR  (NIZAMABAD),Pallavula Velugonda Reddy,37,Bharatha Chaitanya Yuvajana Party,"Rs 10,95,000",Nil
PALLIKONDA NARSAIAH,BALKONDA  (NIZAMABAD),PALLIKONDA RAJANNA,67,BSP,"Rs 37,00,000","Rs 5,00,000"
PRASANNA KUMAR,NIZAMABAD (RURAL)  (NIZAMABAD),MALAKONDA AREDDY,36,Bharatha Chaitanya Yuvajana Party,"Rs 2,52,000",Nil
PRASHANTH RAVUTLA,NIZAMABAD (RURAL)  (NIZAMABAD),Ravutla Gangadhar,29,Dharma Samaj Party,"Rs 12,500","Rs 7,50,000"
PRASHANTH REDDY VEMULA(Winner),BALKONDA  (NIZAMABAD),Surendher Reddy Vemula,57,BRS,Telangana 2018,"Rs10,24,20,909"
PRODDUTURI VINAY KUMAR REDDY,ARMUR  (NIZAMABAD),Sudharshan Reddy,49,INC,Telangana 2018,"Rs15,71,43,486"
PUTTA BHASKAR,BANSWADA  (NIZAMABAD),Putta Narayana,31,IND,"Rs 12,26,700","Rs 60,000"
RAGI ANIL,NIZAMABAD (URBAN)  (NIZAMABAD),Ragi Papaiah,42,IND,"Rs 10,33,000","Rs 1,50,000"
RAJITHA VANI,BODHAN  (NIZAMABAD),Ramesh Paniganti Late,45,Pyramid Party of India,Lok Sabha 2019,"Rs20,000"
RAPELLY SRINIVAS,NIZAMABAD (URBAN)  (NIZAMABAD),Rapelly Laxmi Narayana,48,IND,Loksabha 2014,"Rs3,24,695"
RUTHE RAVI,ARMUR  (NIZAMABAD),Narsaiah,33,Baliraja Party,"Rs 1,71,500","Rs 1,50,000"
SHAIK IMRAN,NIZAMABAD (URBAN)  (NIZAMABAD),Shaik Ahmed,30,BSP,"Rs 2,70,000",Nil
SHARJEEL PARVEZ,BODHAN  (NIZAMABAD),M.A Samad,49,All India Majlis-E-Inquilab-E-Millat,Telangana 2018,"Rs13,85,800"
SHEK JALEEL,BODHAN  (NIZAMABAD),Shek Nanna Sab,44,IND,"Rs 17,87,750","Rs 11,00,000"
SK MAJID,ARMUR  (NIZAMABAD),SK Babu Miya,33,Majlis Bachao Tahreek,"Rs 31,000",Nil
SRIKANTH TOTA,BANSWADA  (NIZAMABAD),Sailu Tota,45,Dharma Samaj Party,"Rs 23,50,000","Rs 5,28,693"
SRINIVAS REDDY PARIGE (POCHARAM)(Winner),BANSWADA  (NIZAMABAD),Raja Reddy Parige,74,BRS,Telangana 2018,"Rs4,94,67,608"
SUNIL KUMAR MUTHYALA,BALKONDA  (NIZAMABAD),Devendar Reddy,45,INC,Telangana 2018,"Rs1,82,66,07,283"
SUNKE SRINIVAS,ARMUR  (NIZAMABAD),Narsimlu Sunke,49,IND,Telangana 2018,"Rs76,84,908"
SYED ASGAR,BODHAN  (NIZAMABAD),Syed Moinuddin,46,IND,"Rs 3,57,000","Rs 3,00,000"
TALLAPALLY SHEKARAIAH,ARMUR  (NIZAMABAD),Tallapally Venkataiah,50,Vidhyarthula Rajakiya Party,"Rs 4,76,300",Nil
YAMAGANTI KANNAIAH GOUD,NIZAMABAD (URBAN)  (NIZAMABAD),Yamaganti Gangadhar Goud,29,Alliance of Democratic Reforms Party,"Rs 6,64,000",Nil
YAMAGANTI NARENDHAR GOUD,NIZAMABAD (URBAN)  (NIZAMABAD),Shiva Goud,58,Yuga Thulasi Party,"Rs 14,65,000",Nil
AJEETH KUMAR SAGI,MANTHANI  (PEDDAPALLI),Srinivas Rao,44,All India Forward Bloc,"Rs 56,60,000","Rs 2,50,000"
